MJD,Frequency(GHz),Flux density(mJy),Flux density error(mJy),upperlimit,instrument,reference
55864.72,8.4,21.52,0.09,n,EVLA,Berger et al.2012
55864.72,19.1,23.15,0.07,n,EVLA,Berger et al.2012
55864.72,24.4,21.4,0.08,n,EVLA,Berger et al.2012
55864.72,43.6,15.32,0.15,n,EVLA,Berger et al.2012
55865.7,15.4,23.74,0.05,n,AMI-LA,Berger et al.2012
55866.72,15.4,24.33,0.49,n,AMI-LA,Berger et al.2012
55871.41,15.4,23.8,0.14,n,AMI-LA,Berger et al.2012
55878.37,15.4,23.72,0.16,n,AMI-LA,Berger et al.2012
55880.51,15.4,21.64,0.16,n,AMI-LA,Berger et al.2012
55883.35,15.4,20.86,0.75,n,AMI-LA,Berger et al.2012
55885.75,15.4,22.06,0.52,n,AMI-LA,Zauderer et al.2013
55888.59,8.6,20.76,0.24,n,JVLA,Zauderer et al.2013
55888.59,19.1,21.89,0.1,n,JVLA,Zauderer et al.2013
55888.59,24.4,20.65,0.11,n,JVLA,Zauderer et al.2013
55888.59,43.6,13.63,0.19,n,JVLA,Zauderer et al.2013
55889.73,1.8,2.29,0.08,n,JVLA,Zauderer et al.2013
55890.73,4.9,12.17,0.05,n,JVLA,Zauderer et al.2013
55890.73,6.7,16.75,0.06,n,JVLA,Zauderer et al.2013
55893.47,15.4,22.99,1.2,n,AMI-LA,Zauderer et al.2013
55904.15,15.4,21.7,1.03,n,AMI-LA,Zauderer et al.2013
55913.36,15.4,20.45,0.77,n,AMI-LA,Zauderer et al.2013
55915.53,15.4,21.6,0.13,n,AMI-LA,Zauderer et al.2013
55917.45,1.8,2.02,0.23,n,JVLA,Zauderer et al.2013
55919.4,15.4,22.11,0.38,n,AMI-LA,Zauderer et al.2013
55921.26,15.4,18.84,0.59,n,AMI-LA,Zauderer et al.2013
55924.41,15.4,21.38,0.22,n,AMI-LA,Zauderer et al.2013
55925.36,15.4,20.62,0.36,n,AMI-LA,Zauderer et al.2013
55928.37,15.4,20.36,0.08,n,AMI-LA,Zauderer et al.2013
55935.42,15.4,18.68,0.22,n,AMI-LA,Zauderer et al.2013
55941.12,15.4,20.04,0.45,n,AMI-LA,Zauderer et al.2013
55944.46,19.1,15.75,0.06,n,JVLA,Zauderer et al.2013
55944.46,24.4,13.64,0.06,n,JVLA,Zauderer et al.2013
55944.46,43.6,7.86,0.14,n,JVLA,Zauderer et al.2013
55948.45,4.9,12.05,0.05,n,JVLA,Zauderer et al.2013
55948.45,6.7,15.3,0.08,n,JVLA,Zauderer et al.2013
55948.48,15.4,17.31,0.21,n,AMI-LA,Zauderer et al.2013
55958.29,15.4,19.21,0.35,n,AMI-LA,Zauderer et al.2013
55973.31,15.4,15.58,0.14,n,AMI-LA,Zauderer et al.2013
55976.31,15.4,14.99,0.12,n,AMI-LA,Zauderer et al.2013
55978.3,15.4,14.94,0.22,n,AMI-LA,Zauderer et al.2013
55982.31,15.4,14.1,0.22,n,AMI-LA,Zauderer et al.2013
55985.23,15.4,14.55,0.07,n,AMI-LA,Zauderer et al.2013
55990.22,15.4,12.53,1.85,n,AMI-LA,Zauderer et al.2013
55993.29,15.4,13.39,0.07,n,AMI-LA,Zauderer et al.2013
55994.255,5,11.6,0.58,n,EVN/VLBI,Yang et al.2016
